Enagrehsraęˀ Hodihsrǫnihagyeˀ,Urban Design and Development
Etinoˀsęh Ęhęnathnoˀao:wanaht,Our Uncles (literally: they (male) become bigheads; ceremony)
Gada:grahsgęhę:ˀ,Cattaraugus (literally: where it smelled like mud)
Gadagwa:sęh,It Is Bruised (Cayuga Chief Title)
Gae:nǫhsesgeho:nǫˀ,Longhouse people
Gahidǫhǫ:,Shake Pumpkin Ceremony
Gahnawageh,Caughnawaga or Kahnawake; (literally: on the rapids)
Gahnawageho:nǫˀ,Caughnawagans
Gahnawagǫ:,"Warren, PA (literally: in the rapids)"
Gahnawehtaˀ,Niagara Falls (literally: a waterfall falls there)
Gahnawiyoˀgeh,Oklahoma (literally: place of the beautiful rapid)
Gahnawiyoˀgeho:nǫˀ,Oklahomans
Gahninǫhnyǫˀ Hodidagwaihsǫhagyeˀ,Consumer's Affairs
Gahyadǫhsragwę:ni:yoˀ,the Constitution Act
Gahyadǫhsranęhgwih Gęgyohgwaęˀ,Canada Post Corporation
Gahęnagǫ:,Hamilton (literally: in the bay)
Gaihoˀdęhsraˀ Gayanehsraˀ Hadihsreˀ,Labour Board (literally: they are following the work laws)
Gaihoˀdęhsraˀ Gayanehsraˀ Honahsdi:hsdǫh,Labour Relations Board
Gaihwanahsgwaˀgo:wah,Midwinter Ceremony
Gaihwanǫhsgwaˀgo:wah,Midwinter Ceremony
Gajihsaˀ,"Husk Face, False Face"
Gajihsdagwę:ni:yoˀ,the Main Fire
Gajiˀnǫdaweheh,Coming on Its Knees (Cayuga Chief Title)
Gajęˀgeha:ˀ,Bowl Game
Ganadadwę:ni:yoˀ Gadi:nyo:ˀ,Fish and Wildlife
Ganadase:ˀ,"Newtown, Cattaraugus (literally: new town)"
Ganahaowi:ˀ,Midwinter Ceremony
Ganaˀdahi:,"Oneida, Wisconsin"
Ganaˀgaht,May (literally: budding leaf month)
Ganaˀjoˀ,"Ottawa, Ontario; Oneida, Wisconsin"
Ganedageho:nǫˀ,Lower End People
Ganedagǫ: ganǫhse:s,Lower Cayuga Longhouse (literally: longhouse in the Lower End)
Ganehsada:geh,"Kanesatake, Oka (literally: on the sand)"
Ganehwa:s,Stone Giant (legendary figure)
Ganehwˀae:ˀ,Delaware Skin Dance
Ganehǫ:ˀ,Drum Dance
Ganiyǫ:dǫˀ,White Dog Feast (literally: a lot of them are hanging there)
Gano:gai:,Threatened (Seneca Chief Title)
Ganrahdahgah,February (literally: rustling leaves)
Ganyadaiyoˀ,Ontario; Lake Ontario (literally: beautiful lake)
Ganyęˀgeho:nǫˀ,Mohawk people
Ganyęˀgehonǫgeh,any Mohawk Territory
Ganęsgwaǫ:taˀgo:wah,April (literally: a lot of frogs month)
Ganęsgwaǫta:ˀah,March (literally: a few frogs month)
Ganǫ:nyǫˀ,New York City (literally: expensive things)
Ganǫhgi:ˀda:wiˀ,Curled Hair (Seneca chief Title)
Ganǫhgwatroho:nǫˀ,Sour Spring People
Ganǫhgwaˀtroˀ ganǫhse:s,Upper Cayuga Longhouse
Ganǫhgweyo:dǫˀ,Standing Corn Cobs (Oneida Chief Title)
Ganǫhgwˀatroˀ,Sour Springs (literally: medicine in the water there)
Ganǫhsowanęhgo:wah,Parliament
Ganǫhsowanęhneh tadihwahehaˀ,Parliament buildings
Ganǫhǫnyǫh,Thanksgiving (Address)
Ganǫhǫnyǫhk,Thanksgiving (Address)
Ganǫkwaˀtreho:nǫˀ,Sour Spring People
Ganǫnyowa:nęh,Great Dance (goes with Great Feather Dance)
Gawęhęni:yǫ:t,Hanging Flower
Gayanehsraˀ Ǫgwahshai:neˀ,Canada Act (literally: the laws that govern us)
Gayaˀdago:wah,January (literally: month of the big dolls)
Gayogoho:nǫˀ,Cayuga people
Gayętwahgeh,"Cornplanter Reserve (place near Warren, Pennsylvania); (literally: where it is planted)"
Gei: Hadǫˀt,Thursday (literally: fourth day)
Gei: Hadǫˀtgęhę:ˀ,Thursday (past)
Gei: niwahsǫda:ge:,Four Nights Ceremony (part of Sustenance dances or gavnahslfjlh)
Gihęˀgowahneh,the Grand River (literally: to the big river)
Godinǫhsǫ:ni:,Longhouse people
Gowęnęˀshę:dǫh,Her Voice Suspended or Scattered (Onondaga Chief Title)
Gwa:go:wah Dehonagyehsdǫh,Crown Corporation
Gwa:go:wah Deshagodihwage:nhaˀseh,Crown Counsel
Gwa:go:wah Gonhaˀtraˀ,Governor General; Prime Minister; (literally: the Monarch's employee)
Gwa:go:wah Gęgyohgwagehoˀ,Crown Corporation
Gwa:go:wah Hǫwadihnyaˀsodahǫh,Privy Council
Gwago:wah Gaǫgweˀdaˀ Gęgyohgwagehǫˀ,Cabinets (governmental)
Gwago:wah Hǫwadihnyaˀsodahǫh,Senate (literally: he's put it around their neck)
Gwagowaˀhneh,England (literally: where the Queen is)
Gwahsdǫho:nǫh,Bostonians
Gwahsdǫhonǫhgeh,United States
Gwahsdǫhonǫhgeho:nǫˀ,United States citizen
Gwesahsneh,Ahkwesahsne (literally: where partridges live)
Gwesahsnehǫ:nǫˀ,Akwesahsne people
Gyehahshędahkwaˀ,"This word is used locally to refer to Ohsweken, Ont. (literally: counselling place)"
Gyodro:wę:,Buffalo (literally: where there is a split fork)
Gyohnegano:,Cold Spring (literally: cold water there)
Gyonhohsgwaǫ:t nihahsidoˀdę:,the Devil (literally: one side cow's foot)
Gyonǫhsade:gęh,Cornplanter Reserve (literally: burnt house)
Gęnadadwę:ni:yoˀ gę:neˀs honahsdi:sdǫh,Parks and Wildlife Federation
Hadi:hwadogęhstaˀ,Advisory Council; (literally: they (male) set it straight)
Hadiga:hehaˀgeh,Taxation Department
Hadigowa:nęˀs,they (male) are big; chiefs
Hadihahsęˀdahkwaˀgowahshǫˀ,Higher Courts; Association of (Canadian) Courts
Hadiksashǫˀǫh Dehǫwadihsnyeˀ,Children's Aid Office
Hadinhaˀtraˀshǫ:ˀǫh,Members of Parliament
Hadinǫhsesgeho:nǫˀ,Longhouse people
Hadiyadǫtwahs,White Dog Feast
Hadiˀnhahgyaˀs Honahdęgyaˀdǫh,Forest Industry
Hadoˀiˀ,False Face
Hadoˀiˀgeha:ˀ,False Face Dance
Hadwęnai:kǫh,Shouting Loudly (Oneida Chief Title)
Hadǫda:hehaˀ,Putting It On Top (Cayuga Chief Title)
Hagaˀę:yǫh,He Looks Both Ways (Cayuga Chief Title)
Hagyaˀdonęhtaˀ,He Lowers His Body (Oneida Chief Title)
Hagyaˀdrǫhneˀ,He Will Put Bodies One On Top Of The Other (Cayuga Chief Title)
Hagyędahkwa:nǫh,Guardian of the Chair (Title); subchief
Hahi:hǫh,He Is a Spiller (Onondaga Chief Title)
Hahsdawędrǫ:taˀ,Attaching Rattles (Mohawk Chief Title)
Hahǫˀjiˀ,"Black man, Negro"
Hakdǫhaˀgo:wah,Inspector General
Hanadaga:nyahs,he is the President of the United States; (literally: he destroys towns)
Hanadaganyahsgeh,Washington D.C. (literally: place of the President or Destroyer of Towns)
Hanhaˀtraˀ,"he is a Member of Parliament, etc."
Hanhęhje:s,the Devil (literally: he has a long tail)
Hatwihsdanǫhgo:wah,Auditor General
Hatwihsdanǫhgo:wah Ohę:dǫ:,Receiver General
Hawę:ni:yo:,the Devil's own name for himself (you can hear this in Gaihwifyof)
Hayęhwataˀ,He Who Seeks or Makes a Wampum Belt (Mohawk Chief Title)
Haǫdanǫh,He is the Watcher of the Log; a subchief
He:tgęh Tga:deh Hęnadewayęhstaˀ Hǫwadiyenawaˀseh,Association of Colleges and Universities Student Services
Hejonakdohaehs,Saturday (future) (literally: the day you clean your floors)
Heyǫgweˀda:gwe:gǫh Goyanehsraęˀ Gęgyohgwaęˀ,Human Rights Commission
Hnyagwaiˀgo:wah,Great Bear (legendary figure)
Hodejihsdane:t,Fire Keeper
Hodinǫhsǫni:dǫh,Longhouse People (hierarchy)
Hodiyanehsrǫ:ni:go:wah,the Constitution
Honadejihsdane:t,Fire Keepers
Honahdęgyaˀdǫh Tadidagwaihshǫhs,Better Business Bureau
Honowiyehdǫh,He Is Out Of Sight In Water (Onondaga Chief Title)
Honyaˀdaji:wahk,Bitter Throat (Onondaga Chief Title)
Honyaˀdasha:yę:,Slow-Moving Body (Oneida Chief Title)
Honǫhsǫni:dǫh,the Peacemaker (literally: He Strengthens the Longhouse; refers to the Creator's Messenger for the Great Law)
Honǫhwęja:do:gę,Tutelo people
Honǫhwęjagwę:ni:yoˀ Honęnigyohgwahsrǫ:ni:,Assembly of First Nations
Hosgęˀęgehdag - o:wah,the Great Warrior (a name for the sun)
Howahnyayę:ni:,He Laid Down A Stick For Him (Onondaga Chief Title)
Howatsadęhǫh,He is Buried or He Is Dampened (Oneida Chief Title)
Hoˀdatshehdeˀ,Carrying a Quiver Around His Neck or Shoulder (Oneida Chief Title)
Hoˀdra:ha:hǫh,He Has an Axe Placed In Between (Onondaga Chief Title)
Hwihs Nihonǫhwęjage:,Five Nations (the original Confederacy)
Hwihs hadǫtgęhę:ˀ,Friday (past)
Hwihs hadǫˀt,Friday (future) (literally: fifth day)
Hyai:kneh,June (literally: berry-ripening month)
Hyaiknehgo:wah,July (literally: many berries ripening month)
Hyei Nihonǫhwęjage:,Six Nations
Hęnadaˀo:we:s,False Face Ceremony 
Hęnadehsaheˀdaohe:s,Green Bean Ceremony (literally: they (male) gather the green beans)
Hęnadęnhaˀs Dehęnadǫgweˀdadenyeˀs,Employment and Immigration; Human Resources Development
Hęnagyanaˀtaˀ,they (male) are actors; they (male) perform) the Arts; arts
Hęnagyenahtaˀ Hadiyˀadahstaˀ Gęgyohgwaęˀ,Arts Council
Hęnagyędahkwaˀ Hadiyanęhsrǫ:nih,"House of Commons, Legislature"
Hęnahiˀdohs ,Gourd Society Dance (part of Shake Pumpkin)
Hęnahiˀdohs Hodihsdawęˀdraˀ (ahsęh sgaeˀ niyodihsya:ge),Shake Pumpkin Rattle (Ceremony; there are 13 types)
Hęnahshe:dahs Oihwagehsǫˀ,Statistics Canada
Hǫwadihnyaˀsodahǫh,Senate
Hǫwadihyadǫhsra:wihs Gayanehsraˀgeh,Licensing and Control Board
Hǫwahnyohsoda:hǫh,Pine Tree Chief
Hǫwaǫda:nǫh,He is the Watcher of the Log; a subchief
Kadiyaˀgǫˀ,Crossing the Forest Song (goes with Shake the Pumpkin; restricted)
Kyodro:wę:,Buffalo (literally: where there is a split fork)
Marlon Brandogeha:ˀ,Marlin Brando's type
Naganyagę:t,White Beaver (legendary figure)
Nakdohaehs,Saturday (literally: the day when she washes the floors upstairs)
Niga:kwaˀ ekdǫhaˀ,Small Green Corn Ceremony (refers to looking at how the plants are progressing)
Nigahnega:ˀah,Little Water Medicine
Nishaye:nahs,Hold Unto (Seneca Chief Title)
Odehadǫ:ni:,Maple Sap Ceremony; woods (trees)
Odehswadenyo:ˀ,Changing Rib Tumbling Dance
Ogwesahsneh,Ahkwesahsne (literally: where partridges live)
Ogwesahsnehǫ:nǫˀ,Akwesahsne people
Ohgi:we:,Ghost Society Dance (takes place in spring and fall; but only in fall at Sour Springs)
Ohi:yoˀ,Allegheny (literally: nice flowing stream)
Ohneˀdraę:ˀ,The Best Soil Uppermost (Onondaga Chief Title)
Ohnyahęh,"Oneida (Ontario, Canada) (literally: dry stick)"
Ohnyahęho:nǫˀ,Oneida people
Ohsthnǫhsǫtaˀ,Great Leather Dance
Ohstowago:wah,Great Feather Dance
Ohsǫdowahgo:wah,"Angel of Death, Spirit of Death (the big blackness)"
Ohwehnageho:nǫˀ,Huron people
Ohwihsdaˀ Tęnahtgaˀs,Canada Council
Ohwęjageh Wahdęgyaˀtaˀ Ohwęjagǫhsǫˀ Honadrihwahsdi:hsdǫh,Department of Energy and Mines
Ohwęˀga:ˀ dehonę:sowe:ksǫˀ,Dutch; (literally: wooden shoe wearers)
Ohę:dǫ: Haˀa:wenǫhǫgyeˀ Ęyagoyęnawaˀsya:gyeˀ,Economic Development
Ohę:dǫ: Haˀwatahi:neˀ Gotganǫnihagyeˀ,Economic Development (office)
Ohędǫhsǫˀ,the head ones (Longhouse officials)
Oihwagwe:gǫh Hadiyˀadahsdahnǫh Honahsdi:hsdǫh,Arts Foundation
Ojihsgwaˀgwahaˀ,Medicine Mask (they come after their mush); (Seneca ceremony)
Ojiˀtgwaˀ Nihęhnodę:,Orientals
Onęhęˀ Odiaę:naˀ,Corn Dance or song
Onęyotga:ˀ,"Oneida people; Oneida, New York (literally:. standing stone)"
Onǫdagehonǫˀ,Onondaga people
Onǫdagęhyatgehǫ:nǫˀ,Upper End people
Onǫdowaˀga:ˀ,Seneca people
Onǫhweht,Love Medicine (restricted)
Onǫndageh,Onondaga town (literally: on the hill)
Oswe:gęˀ,This word refers to the town of Ohsweken on Six Nations Reserve; it also refers to Six Nations and to Canada
Otowegeho:nǫˀ,"Inuit, Eskimo"
Otshestadǫda:s,Tree or Sap Dance
Otsinǫhgęˀdaˀ,"charm society, charm"
Owęˀnaę:ˀ,Little Horses Dance; Strike the Stick
Oyadˀageho:nǫˀ,Cherokee people
Oyˀajiho:nǫˀ,"different Indian people; stranger, alien"
Oˀnehsagǫ:,"In the Sand (at Tonawanda, N.Y.)"
Oˀnehsi:yoˀ,Sandpiper Clan
Sadye:nawahk,Hold Unto (Seneca Chief Title)
Sagohewahtaˀ,The Punisher (the Devil)
Saęˀho:wa:ˀ,He is Biggest tree Top (Mohawk Chief Title)
Saˀgęhneh,September (literally: cough month)
Saˀgęhnehgo:wah,October (literally: big cough month)
Sdaohs,Great Feather Dance
Sedwanoˀsęh,the Devil (literally: Our Uncle; because he is brother to the Creator)
Sgadigaji:nah,"Male Dance; One Side Male Dance (a dance done with paternal cousin, uncle, etc.) (social dance)"
Sganyada:digo:wah,Europe (literally: the other side of the ocean)
Sganyadai:yoˀ,Beautiful Lake (Seneca Chief Title); Handsome Lake (the Messenger)
Sganędadih,Albany (literally: beyond the pine; on the other side of the pine)
Sgaˀnawadih,"Opposite Side Of The Pond, Swamp (Onondaga Chief Title)"
Sgihę:dih,"Pinewoods, Cattaraugus (literally: alongside the river)"
Sgę:nǫ: genǫhdǫnyǫh.,I am fine or healthy
Shadiyaǫdataˀ,Dry Up the Trees (ceremony done at the ending of the maple sap run)
Shagodiyenahsgo:wah,RCMP
Shagodęnyehtaˀgo:wah,Chief Justice
Shagogawe:haˀ,He Paddles or Ferries People (legendary figure)
Shagohyadǫhsehgo:wah,Secretary of State
Shagonǫ:aęˀyęhtaˀ,He Hits With A Head (legendary figure)
Shagoyehwahtaˀ,Red Jacket
Shogogęheˀ,He Is Seeing Them (Onondaga Chief Title)
Shogwa:sęh,He Has Bruised Himself (Onondaga Chief Title)
Shogęˀjo:wa:ˀ,Large Forehead (Seneca Chief Title)
Shohsgohao:wa:ˀ,He Is a Good Woodrift or He is a Big Branch (Mohawk Chief Title)
Shonǫhse:s,He Is of a Longhouse (Oneida Chief Title)
Shoyǫ:we:s,He has Long Wampum (Cayuga Chief Title)
Shęh niyǫgwai hoˀdęˀ.,our way
Shǫgwayaˀdihsˀǫh,he is the Creator (of our bodies)
Tadoda:hoˀ,Entangled (Onondaga Chief Title)
Tahnawa:deˀ,Tonawanda (literally: rapids are there)
Tatgahdǫhs,He Looks Around (Onondaga Chief Title)
Tayatgwai:,He Is of Wide Body (Onondaga Chief Title)
Tayęda:ne:gęˀ,Tyendinaga (literally: land of two logs)
Tayędane:gęˀ,Deseronto (literally: firewood side-by-side there)
Tgagwę:troˀ,"York, Ontario; Jarvis, Ont."
Tgahnawęhtaˀ,Niagara Falls (literally: a waterfall falls there)
Tganadahae:ˀ,Brantford (literally: where the town sits up on something)
Tganadaę:ˀ,Caledonia (literally: there the town lies)
Tganadaęˀgo:wah,"Philadelphia, PA (literally: big town lying there)"
Tganawai:ˀ,Niagara-On-The-Lake
Tganaˀjoha:ˀ,"Ancaster, Ont. (literally: pot attached to something)"
Tganęnogahe:ˀ,Hagersville (literally: a hickory log is across)
Tgayaˀdagwę:ni:yoˀgeh,Ottawa (literally: leading place)
Tgaǫ:doˀ,Toronto (literally: log in the water)
Tiyǫgweˀdadejih Goihwageh,Cultural Affairs
To tsǫ:,that is enough! (i.e. stop pouring)
Tsaˀdegai:hwadeˀ,News Is Different From Another (Mohawk Chief Title)
Tsaˀdegaǫhye:s,Skies of Equal Length (Seneca Chief Title)
Tsaˀdegohsrahęh Gaihwayaǫni:,Midwinter Ceremony
Tsaˀganhaˀ,Northern Indian groups; Algonquians
Tsaˀwę:dę:daˀ,Monday (past)
Tsiyaǫ:dadogęhdǫh,Sunday (past)
Tsiyonakdohaehs,Saturday (past)
Tęnagai:neˀ,Dragging Horns (Mohawk Chief Title)
Tęnęˀnigǫho:taˀ,"the Advisory Council; (literally: they give ideas, suggestions)"
Tǫwa:na:wi: Gayaˀdagęnhahsraˀ Gayanehsraˀ,Bill of Rights; Charter of Rights and Freedoms or Laws
Wahtaˀ,Gibson Reserve (literally: maple tree)
Wasa:seh,War Dance (of the Osage); Rain Dance
Wasahseho:nǫˀ,Osage people
Xihsgęhneh,August (literally: corn silk month or fire fly month)
Xo:to:ˀ,November (literally: cold weather month)
Xo:to:ˀgo:wah,December (literally: really cold month)
a:gadahnyo:ˀ,I would fish
a:gade:kǫ:niˀ,I might eat
a:gadeˀnyę:dęˀ,"I might try or attempt it
"
a:gadowihshęˀ,I should rest
a:gadręnota:k,I would be a singer
a:gadwę:nǫ:dahk,I should use that language
a:gadǫ:goht,I should go on
a:gahya:goˀ,I would pick fruit
a:gahyagwahse:k,I might be a fruit picker
a:gake:ye:na:ˀ,I should catch them
a:gakeyatgęˀse:ˀ,I should watch them
a:gatrǫnyahnaˀ,I should go and tell
a:geksaˀgowagęhe:k,I wish I were handsome
a:goi:hwanǫhkwa:k,"I should care, respect your ideas"
a:gwahdaˀ,"sole, ball of foot"
a:gyathnǫhda:,we two (inclusive) got gas
a:gę:,that's what I did say
a:gęhę:k,It should be
a:gęnadawę:ˀ,they (animal) should swim
a:gęniˀde:niˀ,"I should, might fart"
a:gǫ:niˀ,"I would make, earn"
a:gǫ:yǫˀ,I would give you
a:ha:tęˀ,"he would climb an object (tree, stairs etc)"
a:hado:wa:t,he should hunt
a:hagwe:niˀ,he was able to do it
a:hahaha:ˀ,he should or might come onto the road
a:hahę:t,"he might, could lead"
a:hayętwahse:k tsǫ:,let him keep planting
a:he:yeht,I should wake him up
a:hyayaˀdagenhaˀ,he would help you
a:hęni:hę:ˀ,he would stop (himself)
a:knikǫ:ˀ,"I should, might sew"
a:knǫnheht,I would fill
a:sadenyagwaht,you should make yourself vomit
a:sadǫhwi:daˀt,you will swing
a:sahsdaę:ˀ,you might cry
a:se:gęˀ,you should see it
a:se:k,you should eat
a:se:ˀ,"it is fresh, new"
a:sgęnǫhgęhęk,I hope you (all) will be well
a:sheyatgowanahdęˀ,"to rape a woman (check translation, spelling)"
a:snˀadaǫniˀ,you should make bread
a:wagahyagwę:k,I should have picked fruit
a:wagahyagwęhagyeˀse:k,I would still have been picking fruit
a:wagahyagwęhęgye:k,I should have been picking along
a:wagahyagwęhęgyeˀ,I should be picking fruit along
a:wagatrowihagyeˀse:k,I should be telling it around or about
a:wagęnǫhdǫ:k,I should know
a:we:tˀah,implied; pretend
a:we:tˀah tsǫ: dęsaˀtsǫhs,pretend to sneeze!
a:wetˀahshǫ:ˀǫh,"make-believe, pretend"
a:ya:węh,"I wish, hope"
a:yagonadrihwagyaǫˀ,they (female or mixed group) might have an accident
a:yagwadahnyo:ˀ,we all (exclusive) would fish
a:yagwahsę:nǫˀ,we all (exclusive) should give it a name
a:yakhne:ˀ,we two (exclusive) would go together
a:yesayˀadagenhaˀ,she would help you
a:yetsęi:ˀ,she might find it
a:yo:daˀ,it would sleep
a:yonadrihwa:gyaǫˀ,they (animal) might have an accident
a:yǫda:wę:ˀ,she might swim
adahditranhahstaˀ,garters (to hold up stockings)
adahdˀitraˀ,socks
adahyaohǫ:ˀ,Gathering of Fruit Ceremony (done during the Strawberry Ceremony)
adai:sdǫ:ˀ,intercourse
adaoˀtraˀ,friendship; also refers to a ceremonial friend
adatrewahdǫ:ˀ,"repentance, punishment"
adaˀditraˀ,cane
adaˀgęhodagwę:ˀ,scattering ashes
adehswaˀ,"blouse, middy"
adekwahahsra:kˀah,by the table
adekwahahsrageh,on the table
adekwahahsraˀ,table
adigyaˀdraˀ,we two (inclusive) met
adihakǫhsraˀ,a feast (ceremonial) 
adihswatnętsi:yak,you all broke your arm
adijatnętsi:yak,you two broke your arm
adisaihwaę:daˀs,you made a decision
adisaˀtsǫhs,you did sneeze
adiˀgrǫhsraˀ,shyness
ado:gęˀ,"axe, tomahawk"
adoda:ˀ,bow (as in bow and arrow)
adowadǫ:ˀ,hunt
adoˀjinaˀ,skate
adoˀjinehdǫ:ˀ,skating
adraˀswahe:tgęˀ,luck
adraˀswaˀ,luck
adraˀwihsdaˀ,bat (mammal)
adrihwagyaǫhsraˀ,disaster
adrihwagyaǫhsraˀ hadiganyaˀs,"insurance, assurance"
adrihwahsehdǫ:ˀ,a secret
adwa:do:goˀ,it scattered
adwadagwęhdę:,it became dented
adwadahyo:wę:ˀ,the fruit did split
adwadehsdao:goˀ,it splashed
adwadehsgwiˀdrǫ:dęˀ,"you became wrinkly, pruny"
adwadejitgwaogo:ˀ,diabetes
adwadestęho:węˀ,volcano
adwado:wę:ˀ,it split
adwadrihgwagwenǫ:ni:,there was a full moon
adwadęhęwęhę:t,it has gone over the fence
adwadęnhiht,calamity (literally: it happened all of a sudden; all at once)
adwagadǫhwęjohs,I did want something
adwagagyaǫ:nyǫˀs,I had a vision; I got spooked
adwagahji:yoˀ,it scratched me
adwagegahoˀs,I got an eyelash in my eye
adwagrihwaę:daˀs,I came to a decision
adwagyaǫnyǫ:ˀ,apparition (haunted)
adwahyahiˀ,the fruit broke up
adwaksaga:ˀs,"you gasped, yawned "
adwatahsro:goˀ,a flash of light
adwataędǫ:nyǫh,it shimmered
adwatnętsi:yak,it broke its arm
adwatnętsodagoh,our (includes listener) arm came out of its socket
adwatwęjohs,it became a necessity
adwęnihoˀk,lightning struck
adyagodewane:ga:ˀs,she got a flat tire
adyagodihwaę:daˀs,they (female or mixed group) came to a decision
adyagodiˀdraihęˀ,they (female or mixed group) hurried
adyodˀidraihęˀ,they (animal) hurried
adyǫknˀidraihęˀ,we two hurried
adęhęgaǫhsraˀ,an invitation
adęhęˀ,fence
adęnatraˀ,"lunch, groceries"
adęnideǫ:sraˀ,the act of kindness
adęnihsaˀgeh,on the wall
adęˀhę:kˀah,by the fence
adęˀhęgǫ:,in the yard
adęˀhęˀgeh,on the fence
adǫ:waˀ,men's personal chant
adǫhnˀetsaˀ,ladder or stairs
adǫhnˀetshaˀgeh,on the stairs
adǫhwihsęhde:ˀ,it is restful
adǫnhehsraˀ,birth
ae:swa:k,you all should eat it
aenǫhweˀ,she has liked it
aga:do:wi:,I did the driving
aga:gęˀ,it saw
aga:ke:dę:ˀ,I felt compassion for them
aga:tgęh,I got up
aga:tro:wi:,I have told
aga:tǫ:deˀ,I hear it (right now)
aga:tǫ:dęhs,I hear it all the time (continually or off-and-on; i.e. the sound of a regular train going by one's house)
aga:węh,it is mine
agadade:gęˀ,I saw myself
agadadwiyahdǫˀdǫh,I did have an abortion
agadadwiyahdǫˀt,I had an abortion
agadagai:deˀ,"I am well, fine, healthy"
agadahsehdǫh,I am hiding now
agadahǫhdohai:ˀ,I did wash my ears
agadahǫhsiyohs,I listen
agadatgęˀ,I saw myself
agadatsęhse:,I am tired
agadedręhdatgihdanihsgęhę:ˀ,I used to have bad dreams
agadehsręˀdǫ:ni:,"I am grouchy, (glaring)"
agadehsrǫnihsˀǫh,I am ready
agadehęh,I did get embarrassed
agadejiˀohgyak,I did cut my nails
agadekǫ:ni:,I am eating
agadekǫ:niˀ,I ate
agadenyaˀgwaht,I made myself throw up
agadenǫˀnya:dǫ:ˀ,I am in mourning
agadetsę:,I am a glutton
